CodProducto,Producto,Categoria,Activo,F_vencimiento,P_compra,P_venta,Margen,01-01-2020,08-01-2020,15-01-2020,22-01-2020,29-01-2020,05-02-2020,12-02-2020,19-02-2020,26-02-2020,04-03-2020,11-03-2020,18-03-2020,25-03-2020,01-04-2020,08-04-2020,15-04-2020,22-04-2020,29-04-2020,06-05-2020,13-05-2020,20-05-2020,27-05-2020,03-06-2020,10-06-2020,17-06-2020,24-06-2020,01-07-2020,08-07-2020,15-07-2020,22-07-2020,29-07-2020,05-08-2020,12-08-2020,19-08-2020,26-08-2020,02-09-2020,09-09-2020,16-09-2020,23-09-2020,30-09-2020,07-10-2020,14-10-2020,21-10-2020,28-10-2020,04-11-2020,11-11-2020,18-11-2020,25-11-2020,02-12-2020,09-12-2020,16-12-2020,23-12-2020,30-12-2020,06-01-2021,13-01-2021,20-01-2021,27-01-2021,03-02-2021,10-02-2021,17-02-2021,24-02-2021,03-03-2021,10-03-2021,17-03-2021,24-03-2021,31-03-2021,07-04-2021,14-04-2021,21-04-2021,28-04-2021,05-05-2021,12-05-2021,19-05-2021,26-05-2021,02-06-2021,09-06-2021,16-06-2021,23-06-2021,30-06-2021,07-07-2021,14-07-2021,21-07-2021,28-07-2021
BEB003,Bebida con pulpa de piña 475 ml,Bebidas,NO,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
BEB004,Bebida de durazno 300 ml,Bebidas,NO,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
BEB005,Bebida con pulpa de naranja 475 ml,Bebidas,NO,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
BEB006,Bebida con pulpa de manzana 475 ml,Bebidas,NO,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
BEB007,Bebida con pulpa de maracuya 475 ml,Bebidas,NO,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
BEB008,D Vine Cilíndrico,Bebidas,NO,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
BEB009,Duo Pack D Vine,Bebidas,NO,180,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
BEB010,Six Pack D Vine,Bebidas,NO,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
BEB011,Zumo de Uva 295 ml,Bebidas,SI,365,4.50,6.00,1.50,1,1,0,1,0,2,0,2,1,0,3,1,3,0,2,1,0,1,0,2,1,3,0,2,1,2,2,0,0,0,3,1,2,2,2,0,0,0,3,1,1,1,2,2,1,1,1,0,1,1,1,1,2,1,1,1,0,1,0,3,1,1,1,0,1,2,2,0,1,1,0,1,2,0,0,0,3,1,2,2,2,0,0
BOLL001,Chancay Con Ajonjoli,Bollerías,NO,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
BOLL002,Pre Pizza Union,Bollerías,SI,15,15.00,17.00,2.00,1,0,1,1,0,2,0,2,1,0,2,3,1,1,1,1,1,1,0,2,2,1,1,1,1,0,2,0,0,0,2,3,2,2,2,1,1,0,2,3,1,3,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,0,2,0,1,1,1,2,2,1,1,0,2,3,2,2,2,1,1
BOLL003,Rollo de Canela,Bollerías,SI,15,1.30,2.50,1.20,1,0,1,2,1,1,1,0,2,0,3,0,1,1,3,0,0,2,1,1,1,1,1,3,1,1,1,2,1,0,3,0,2,2,1,1,2,0,3,0,2,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,2,2,1,2,1,1,1,2,2,1,2,1,1,1,2,0,3,0,2,2,1,1,2
CER001,Granola Lonchera x 400gr.,Cereales,SI,120,4.50,6.00,1.50,1,2,1,2,1,2,0,2,3,2,2,2,2,1,0,3,1,2,1,2,2,2,3,3,2,2,3,3,0,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,1,1,2,1,2,1,1,2,1,2,1,2,2,2,2,1,2,1,2,2,3,3,1,2,1,2,2,1,2,2,2,2,1,2,2,1,2
CER002,Granola Lonchera x 200gr.,Cereales,SI,120,4.50,6.00,1.50,2,1,2,1,2,1,4,0,3,0,5,0,1,2,4,1,4,1,2,1,3,1,3,4,2,1,4,1,3,0,5,0,1,2,2,1,2,0,5,0,3,4,1,4,2,3,3,3,3,3,3,3,0,3,3,3,2,1,3,1,3,3,3,2,1,1,4,1,3,3,2,1,2,1,2,0,5,0,1,2,2,1,2
CER003,Granola Sport Union 50gr.,Cereales,SI,120,4.50,6.00,1.50,2,1,1,1,1,0,1,1,0,1,2,1,4,1,2,1,1,1,1,0,0,4,1,0,1,2,2,2,0,1,2,1,1,1,1,0,0,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,4,1,1,1,0,0,2,2,2,1,1,0,0,1,0,0,1,2,1,1,1,1,0,0
CER004,Germen de Trigo,Cereales,SI,90,12.00,14.00,2.00,1,0,0,1,0,0,1,0,0,1,0,1,2,1,1,2,0,1,0,0,0,2,1,1,0,0,0,0,1,1,0,1,1,1,1,0,2,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,2,1,1,1,0,0,0,0,0,1,1,0,0,1,0,2,1,0,1,1,1,1,0,2
CER005,Salvado de Trigo,Cereales,SI,120,12.00,15.00,3.00,1,0,1,1,0,0,0,1,0,2,1,1,1,1,1,1,2,1,0,0,0,1,1,1,0,0,0,0,0,2,1,1,0,1,1,1,0,2,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,0,0,0,1,1,1,2,1,1,0,2,1,1,0,1,1,1,0
CER006,Granola con Granos Andinos,Cereales,SI,120,5.00,6.00,1.00,1,2,1,2,1,2,2,3,4,0,2,2,2,1,5,2,4,2,1,2,0,2,4,5,0,1,3,3,4,0,2,2,2,1,3,1,2,1,2,2,2,3,3,5,2,2,2,4,2,2,2,2,3,2,2,2,2,2,0,2,2,2,2,2,2,1,3,3,2,2,2,2,3,1,2,1,2,2,2,1,3,1,2
CER007,Granola con Pasas y Almendras,Cereales,SI,120,5.00,6.00,1.00,1,2,2,2,3,1,3,2,3,4,2,1,0,4,2,5,2,2,3,1,2,3,4,2,2,3,3,3,2,4,2,1,3,2,3,1,1,4,2,1,1,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,1,2,3,2,2,2,2,1,3,3,3,2,2,2,1,3,1,1,4,2,1,3,2,3,1,1
CER010,Granola Lonchera x 80gr.,Cereales,SI,120,5.00,6.00,1.00,2,1,1,2,1,0,0,0,1,2,2,1,1,2,0,0,0,2,1,0,2,1,2,0,2,0,2,0,2,2,2,1,1,1,2,3,0,2,2,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,0,2,1,1,2,1,1,0,0,2,0,2,1,1,0,2,3,0,2,2,1,1,1,2,3,0
CER011,Granola con Granos Andinos x 80 gr.,Cereales,SI,120,5.00,6.00,1.00,1,0,1,1,1,2,2,0,4,3,0,0,1,2,1,1,2,1,1,2,1,1,3,2,1,1,2,2,4,3,0,0,1,2,2,1,1,3,1,0,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,1,2,1,1,2,2,2,1,2,1,2,2,2,2,1,2,2,1,1,3,0,0,1,2,2,1,1
CER012,Granola con Pasas y Almendras x 80 gr.,Cereales,SI,120,5.00,6.00,1.00,1,0,1,1,1,0,3,0,0,1,2,3,2,2,0,0,3,1,1,0,2,2,2,0,1,0,2,0,1,1,2,3,2,1,3,1,1,1,2,3,2,2,2,2,1,1,1,2,1,1,1,1,1,3,1,1,2,0,2,2,3,1,1,2,0,0,2,0,1,1,2,0,3,1,1,1,2,3,2,1,3,1,1
GALL003,Galleta Lonchera de Coco x 42 gr,Snacks,NO,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
GALL004,Galleta Lonchera de Kiwicha x 42 gr,Snacks,NO,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
GALL005,Galleta Lonchera de Naranja x 42 gr,Snacks,NO,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
GALL006,Galleta Lonchera Intg de Coco x 42 gr,Snacks,NO,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
GALL007,Galleta Lonchera Intg de Naranja x 42 gr,Snacks,NO,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
GALL008,Mega Galleta de Coco,Snacks,SI,150,2.00,3.1,1.10,1,2,2,1,3,0,1,2,3,0,1,0,4,0,0,0,2,1,3,0,1,4,0,3,1,2,1,2,3,0,1,0,1,2,2,2,4,1,1,0,3,0,3,0,1,0,1,1,0,1,0,1,2,2,1,1,2,0,1,4,2,1,1,2,0,2,1,2,1,1,2,0,2,2,4,1,1,0,1,2,2,2,4
GALL009,Mega Galleta de Kiwicha,Snacks,SI,150,2.00,3.1,1.10,2,3,4,2,3,0,3,4,4,1,3,3,2,5,2,1,5,2,3,3,1,1,3,2,4,3,5,2,5,2,3,3,2,2,3,4,3,1,3,3,5,3,2,3,1,3,3,3,3,3,3,3,2,3,3,3,4,3,1,1,3,3,3,4,3,3,5,2,3,3,4,3,3,4,3,1,3,3,2,2,3,4,3
GALL010,Mega Galleta de Naranja,Snacks,SI,150,2.00,3.1,1.10,1,3,0,0,1,1,2,0,2,0,3,0,1,2,5,2,2,0,1,1,0,1,2,1,1,1,2,2,2,0,3,0,1,1,1,2,2,0,3,0,2,1,1,1,2,2,1,0,2,1,2,1,1,2,1,2,4,1,0,1,2,1,2,4,1,1,2,2,1,2,4,1,1,2,2,0,3,0,1,1,1,2,2
GALL011,Mega Galleta Integral de Coco,Snacks,SI,150,2.00,3.1,1.10,3,6,4,2,4,2,5,1,4,2,4,4,4,0,2,5,4,2,4,2,2,4,4,2,4,2,4,2,4,2,4,4,2,1,4,3,2,2,4,4,3,3,4,3,2,3,2,3,3,2,3,2,1,3,2,3,4,2,2,4,3,2,3,4,2,2,4,2,2,3,4,2,4,3,2,2,4,4,2,1,4,3,2
GALL012,Mega Galleta Integral de Naranja,Snacks,SI,150,2.00,3.1,1.10,3,5,6,3,2,4,3,5,1,3,4,2,0,5,2,2,5,3,2,4,3,0,5,2,2,5,2,1,2,3,4,2,3,3,4,1,3,3,4,2,3,4,3,3,2,6,4,3,6,4,6,4,1,6,4,6,2,4,3,0,6,4,6,2,4,5,2,1,4,6,2,4,4,1,3,3,4,2,3,3,4,1,3
PAN001,Pan Americano Sandwich,Panes,SI,15,7.00,8.5,1.50,2,5,3,2,5,2,4,0,7,1,5,2,5,3,2,0,2,2,5,2,3,5,3,2,3,3,4,4,5,1,5,2,4,3,6,3,5,1,5,2,3,4,6,4,4,4,3,3,4,3,4,3,2,4,3,4,6,2,3,5,4,3,4,6,2,3,4,4,3,4,6,2,6,3,5,1,5,2,4,3,6,3,5
PAN002,Pan Integral Familiar Superbom,Panes,SI,15,7.00,9,2.00,2,0,4,2,0,2,1,1,1,0,3,0,1,1,1,1,1,2,0,2,1,1,2,1,1,1,1,1,5,0,3,0,1,2,2,2,5,0,3,0,2,3,2,2,1,1,1,1,1,1,1,1,3,1,1,1,0,2,1,1,1,1,1,0,2,1,1,1,1,1,0,2,2,2,5,0,3,0,1,2,2,2,5
PAN003,Pan Americano Mediano Union,Panes,SI,15,7.00,9.50,2.50,3,5,0,3,2,4,4,0,4,1,2,1,5,2,6,0,4,3,2,4,2,5,2,6,4,2,4,2,4,2,2,5,5,2,1,1,6,1,2,1,3,3,3,3,3,4,3,3,4,3,4,3,2,4,3,4,2,4,2,5,4,3,4,2,4,2,4,2,3,4,2,4,1,1,6,1,2,5,5,2,1,1,6
PAN004,Pan Fuente,Panes,SI,15,7.00,8.5,1.50,2,1,3,2,3,0,3,0,0,2,2,0,1,3,4,1,1,2,3,0,3,1,1,4,1,2,1,2,1,2,2,0,1,2,2,2,1,2,2,1,1,1,2,2,1,0,1,1,0,1,0,1,2,0,1,0,2,0,3,1,0,1,0,2,0,2,1,2,1,0,2,0,2,2,1,2,2,0,1,2,2,2,1
PAN005,Pan Blanco Familiar Superbom,Panes,SI,15,7.00,8.5,1.50,1,4,3,3,2,2,5,2,0,4,1,5,0,5,1,1,3,1,2,2,2,3,5,1,3,3,2,0,0,4,1,5,2,3,3,2,1,4,1,5,3,2,3,3,2,3,3,2,3,3,3,3,3,3,3,3,4,2,4,3,3,3,3,4,2,3,2,0,3,3,4,2,3,2,1,4,1,5,2,3,3,2,1
PAN006,Pan Fibra Integral,Panes,SI,15,7.00,9.5,2.50,2,4,3,3,2,3,2,5,0,4,6,1,4,2,5,5,4,3,2,3,4,1,2,5,1,4,4,3,1,4,6,1,2,4,4,2,1,4,6,1,2,4,4,5,4,8,2,4,8,2,8,2,9,8,2,8,2,3,4,1,4,3,1,3,2,4,4,3,3,1,3,2,4,2,1,4,6,1,2,4,4,2,1
PAN007,Pan Vita Fibra,Panes,SI,15,8.00,10.00,2.00,2,4,2,2,2,2,4,1,2,1,2,0,1,4,2,1,2,1,2,0,1,1,4,2,1,2,2,1,0,1,2,0,1,2,2,2,2,1,2,1,1,2,1,2,1,1,1,0,1,1,1,1,6,1,1,1,3,0,1,1,2,1,3,0,1,2,2,1,1,3,0,1,2,2,2,1,2,0,1,2,2,2,2
PAN008,Pan con Granos Integrales 540gr,Panes,SI,15,7.00,8.5,1.50,4,2,8,2,5,2,4,3,3,7,2,6,1,3,3,2,1,1,5,2,4,6,2,5,5,5,4,6,4,7,2,6,4,4,7,5,0,7,2,6,4,3,4,5,5,1,5,2,1,5,1,5,6,1,5,1,5,2,5,6,5,3,5,5,4,5,4,6,3,5,5,4,7,5,0,7,2,6,4,4,7,5,0
PAN009,Pan con semillas y Chips de Miel de Abeja,Panes,SI,15,7.00,8.5,1.50,6,3,3,5,5,3,4,5,2,6,6,2,5,3,2,4,4,5,5,3,5,3,8,2,3,5,3,7,5,6,6,3,8,4,4,6,1,6,6,3,4,3,6,2,4,6,4,2,6,4,6,4,4,6,4,6,7,3,5,3,5,3,7,5,5,5,3,7,3,7,5,5,4,6,1,6,6,3,8,4,4,6,1
PAN010,Pan Multigrano Avena,Panes,SI,15,8.00,10.50,2.50,3,5,3,2,4,4,3,2,5,8,1,3,7,2,5,2,4,1,4,1,1,7,2,5,2,6,5,4,2,8,1,3,4,4,4,4,1,6,1,3,3,1,3,3,3,3,3,3,3,3,3,3,4,3,2,3,6,1,1,7,2,1,4,2,2,6,5,4,1,4,2,2,4,4,1,6,1,3,4,4,4,4,1
PAN012,Pan Integral Mediano Union,Panes,SI,15,7.00,8.5,1.50,4,2,3,3,2,0,3,0,0,2,1,1,1,3,4,1,2,1,2,1,1,1,3,4,2,1,3,3,1,2,1,1,1,1,2,2,4,2,1,1,1,1,1,0,2,1,2,1,1,2,1,2,3,1,2,1,2,1,1,1,2,2,4,1,2,1,3,3,2,4,1,2,2,2,4,2,1,1,1,1,2,2,4
PAN013,Pan Integral Sandwich,Panes,SI,15,8.00,10,2.00,8,5,4,6,4,5,5,4,8,8,3,3,6,3,8,2,7,3,8,5,4,5,4,6,5,8,4,5,3,8,3,6,4,6,5,4,5,8,3,3,5,6,5,4,5,6,5,5,6,5,3,5,7,6,3,5,7,5,2,5,7,3,4,5,5,8,4,5,8,4,5,5,5,4,5,8,3,6,4,6,5,4,5
PAN014,Pan Integral Mediano Vita Rey,Panes,SI,15,8.00,9.5,1.50,1,2,0,2,2,0,4,0,2,4,1,0,1,2,4,1,2,2,2,0,1,1,2,4,1,2,2,1,2,4,1,0,2,0,2,2,2,4,1,0,4,0,3,0,0,0,4,0,0,4,0,4,3,0,4,0,2,2,1,1,1,2,1,1,1,2,2,1,2,1,1,1,2,2,2,4,1,0,2,0,2,2,2
PAS002,Cake Naranja x 12,Bollerías,NO,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
PAS003,Pionono x 8,Bollerías,NO,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
PAS004,Cake Naranja 2 unid,Bollerías,NO,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
PNT003,Paneton Union T/B 1 Kg.,Panes,NO,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
PNT004,Paneton Union T/b 900 Gr,Panes,NO,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
PNT005,Paneton Union T/C 900 Gr,Panes,NO,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
PNT006,Paneton Union T/L 1kg,Panes,NO,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
PNT007,Paneton Vita Rey con Arándanos T/C 900 g,Panes,SI,240,8.00,11.00,3.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5
PNT008,Paneton Integral T/B 900 g,Panes,SI,240,8.00,10.00,2.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5
PNT009,Paneton Integral T/C 900 gr,Panes,SI,240,8.00,11.00,3.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5
PNT010,Paneton Union Diet T/C 500 Gr,Panes,SI,240,8.00,10.00,2.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5
SNA001,Tostada Blanca X 10,Snacks,SI,150,3.50,5.00,1.50,2,3,5,1,1,4,5,1,3,4,0,1,2,4,4,1,4,1,3,4,2,2,4,4,2,2,4,0,5,4,0,1,3,3,2,2,3,4,2,1,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,2,4,2,2,2,3,4,2,2,2,4,0,3,4,2,2,2,2,3,4,0,1,3,3,2,2,3
SNA002,Tostada Integral X 10,Snacks,SI,150,3.50,5.00,1.50,2,6,2,1,5,2,3,2,2,1,2,4,4,2,4,4,3,1,5,2,1,4,2,4,2,1,2,2,2,1,2,4,2,2,1,3,3,1,2,4,2,3,3,2,3,3,4,3,3,4,3,4,3,3,4,3,1,2,1,4,1,2,2,2,2,1,2,2,2,2,2,2,1,3,3,1,2,4,2,2,1,3,3
SNA005,Mani con Pasas 170 gr,Snacks,NO,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
SNA006,Mani con Pasas 40 gr,Snacks,NO,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
SNA007,Mani con Pasas 60 gr,Snacks,NO,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
SNA008,Mani con Pasas 90 gr,Snacks,NO,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
SNA009,MIX NATURAL DE NUECES 170 gr,Snacks,NO,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
SNA010,MIX NATURAL DE NUECES 40 gr,Snacks,NO,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
SNA011,MIX NATURAL DE NUECES 90 gr,Snacks,NO,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
SNA016,Palitos con ajonjoli y linaza 65g,Snacks,SI,120,1.20,1.80,0.60,3,4,2,6,5,2,4,2,4,4,2,1,1,4,2,4,1,6,5,2,2,6,4,2,6,5,4,2,6,6,2,1,3,3,3,3,6,4,2,6,4,6,4,3,4,3,6,4,3,4,3,4,3,6,4,3,5,8,4,6,6,5,2,5,4,5,4,2,5,2,5,6,6,3,3,6,2,6,3,6,3,3,3
SNA017,Palitos con Especias x 65 gr,Snacks,SI,120,1.20,1.80,0.60,6,6,3,2,4,6,5,2,5,2,5,1,4,2,4,3,3,6,4,3,6,4,2,6,2,2,2,2,2,2,5,6,3,3,3,3,2,2,5,6,2,2,4,5,3,6,3,4,4,3,4,3,3,4,3,4,3,3,1,4,2,2,2,2,6,2,6,2,2,6,2,3,3,3,2,2,5,6,3,3,3,3,2
UNT001,Mermelada de Uva Frasco,Untables,SI,365,7.00,8.5,1.50,2,1,1,1,1,1,1,1,1,1,2,0,1,1,1,0,1,1,1,1,1,1,1,1,1,2,2,0,0,1,2,0,0,1,1,1,1,1,2,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,2,2,0,1,2,1,1,1,1,1,1,2,0,0,1,1,1,1
UNT002,Mant. de Mani Frasco 410 gr.,Untables,SI,90,5.00,6.00,1.00,2,2,1,1,0,2,2,1,1,2,2,0,1,3,4,2,2,1,1,2,1,1,3,4,2,3,4,0,0,2,2,0,1,1,1,2,2,2,2,2,1,0,1,1,1,2,1,1,2,1,2,1,2,2,1,2,2,2,1,1,2,2,3,1,1,3,4,0,2,3,1,1,1,2,2,2,2,0,1,1,1,2,2
UNT003,Mant. de Mani 1Kg,Untables,SI,90,5.00,6.00,1.00,1,1,1,1,1,1,2,1,1,1,3,0,4,0,0,3,0,1,1,1,2,5,0,0,3,0,0,0,0,1,3,0,2,1,1,1,1,1,3,0,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,0,2,2,2,1,1,2,2,1,2,2,1,1,1,1,1,1,3,0,2,1,1,1,1
UNT004,Mantequilla de Mani Sachet 200 gr.,Untables,SI,90,6.00,7.00,1.00,1,1,2,1,1,2,1,1,2,0,2,1,1,1,0,0,2,1,1,2,1,1,1,0,1,2,1,1,2,0,2,1,1,2,1,2,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,2,2,2,2,1,1,2,1,2,2